File,Lines Covered,Lines Total,Lines %,Functions Covered,Functions Total,Functions %,Branches Covered,Branches Total,Branches %
src/participant/ParticipantMenu.tsx,11,17,64.71,6,10,60.00,4,4,100.00
src/participant/ParticipantRoute.tsx,17,33,51.52,4,7,57.14,11,24,45.83
src/participant/pages/announcements/Main.tsx,13,28,46.43,2,9,22.22,5,13,38.46
src/participant/pages/announcements/components/AnnouncementsExpandedView.tsx,0,35,0.00,0,5,0.00,0,28,0.00
src/participant/pages/announcements/components/ParticipantAnnouncementCard.tsx,0,4,0.00,0,1,0.00,0,14,0.00
src/participant/pages/home/Main.tsx,0,4,0.00,0,1,0.00,0,2,0.00
src/participant/pages/home/components/AnnouncementWidget.tsx,0,6,0.00,0,3,0.00,0,8,0.00
src/participant/pages/home/components/NewAchievedBadgesWidget.tsx,0,14,0.00,0,5,0.00,0,9,0.00
src/participant/pages/home/components/TasksCompletedWidget.tsx,0,6,0.00,0,2,0.00,0,4,0.00
src/participant/pages/home/components/TodoListWidget.tsx,1,8,12.50,0,3,0.00,0,18,0.00
src/participant/pages/login/Main.tsx,21,27,77.78,4,6,66.67,10,14,71.43
src/participant/pages/progress/Main.tsx,0,1,0.00,0,1,0.00,0,0,
src/participant/pages/progress/components/BadgeDisplay.tsx,1,16,6.25,0,6,0.00,0,22,0.00
src/participant/pages/progress/components/BucksGoalCard.tsx,0,30,0.00,0,7,0.00,0,46,0.00
src/participant/pages/progress/components/EditGoal.tsx,1,22,4.55,0,2,0.00,0,8,0.00
src/participant/pages/progress/components/SetGoal.tsx,1,21,4.76,0,2,0.00,0,8,0.00
src/participant/pages/progress/components/WeeklyEarningsChart.tsx,1,23,4.35,0,8,0.00,0,10,0.00
src/participant/pages/schedule/Main.tsx,0,19,0.00,0,6,0.00,0,34,0.00
src/participant/pages/schedule/components/TaskDetailsModal.tsx,0,3,0.00,0,1,0.00,0,8,0.00
src/test-utils/renderWithRouter.tsx,1,1,100.00,1,1,100.00,1,1,100.00
src/theme/colors.ts,1,1,100.00,0,0,,0,0,
src/theme/components.ts,8,8,100.00,0,0,,0,0,
src/theme/typography.ts,2,2,100.00,0,0,,0,0,
src/types/component.ts,0,0,,0,0,,0,0,
src/types/enums.ts,0,0,,0,0,,0,0,
src/types/models.ts,0,0,,0,0,,0,0,
src/ui/UI.tsx,0,35,0.00,0,27,0.00,0,10,0.00
src/ui/badge/BadgeLevelRow.tsx,1,11,9.09,0,2,0.00,0,17,0.00
src/ui/badge/BadgeProgress.tsx,3,10,30.00,0,2,0.00,0,7,0.00
src/ui/badge/CustomBadgeRow.tsx,1,2,50.00,0,1,0.00,0,2,0.00
src/ui/buttons/BlackOutlineButton.tsx,0,1,0.00,0,1,0.00,0,1,0.00
src/ui/buttons/GreenOutlineButton.tsx,1,1,100.00,1,1,100.00,0,0,
src/ui/buttons/OrangeButton.tsx,1,1,100.00,1,1,100.00,0,0,
src/ui/buttons/ToggleButton.tsx,0,2,0.00,0,2,0.00,0,4,0.00
src/ui/buttons/UnderlineButton.tsx,1,1,100.00,1,1,100.00,0,0,
src/ui/containers/PopupContainer.tsx,0,1,0.00,0,1,0.00,0,16,0.00
src/ui/containers/WidgetContainer.tsx,1,1,100.00,1,1,100.00,5,11,45.45
src/ui/icons/ActionIcons.tsx,18,34,52.94,3,12,25.00,2,24,8.33
src/ui/icons/BadgeIcons.tsx,14,42,33.33,0,14,0.00,0,28,0.00
src/ui/icons/BadgeLevelFrameIcons.tsx,6,12,50.00,0,6,0.00,0,6,0.00
src/ui/icons/MiscIcons.tsx,12,23,52.17,2,9,22.22,2,14,14.29
src/ui/icons/NotificationIcons.tsx,3,9,33.33,0,3,0.00,0,6,0.00
src/ui/icons/StatusIcons.tsx,4,8,50.00,0,4,0.00,0,4,0.00
src/ui/inputs/DateInput.tsx,0,3,0.00,0,2,0.00,0,8,0.00
src/ui/inputs/DropdownInput.tsx,3,4,75.00,2,3,66.67,4,9,44.44
src/ui/inputs/FixedInput.tsx,0,1,0.00,0,1,0.00,0,3,0.00
src/ui/inputs/NumberInput.tsx,2,3,66.67,1,2,50.00,4,10,40.00
src/ui/inputs/PasswordInput.tsx,3,5,60.00,1,3,33.33,6,11,54.55
src/ui/inputs/SelectInput.tsx,0,3,0.00,0,3,0.00,0,2,0.00
src/ui/inputs/TextAreaInput.tsx,0,3,0.00,0,2,0.00,0,6,0.00
src/ui/inputs/TextInput.tsx,0,3,0.00,0,2,0.00,0,6,0.00
src/ui/inputs/TimeInput.tsx,0,3,0.00,0,2,0.00,0,8,0.00
src/ui/misc/DataTable.tsx,5,5,100.00,4,4,100.00,6,10,60.00
src/ui/misc/DateOptions.tsx,0,52,0.00,0,11,0.00,0,46,0.00
src/ui/misc/MarillacPlaceCalendar.tsx,0,19,0.00,0,12,0.00,0,8,0.00
src/ui/misc/TaskStatusDisplay.tsx,0,3,0.00,0,1,0.00,0,1,0.00
src/ui/screens/ErrorScreen.tsx,0,3,0.00,0,3,0.00,0,1,0.00
src/ui/screens/LoadingScreen.tsx,1,1,100.00,1,1,100.00,1,1,100.00
src/ui/screens/NotFoundScreen.tsx,0,7,0.00,0,3,0.00,0,4,0.00
constants/days.ts,10,11,90.91,5,5,100.00,5,7,71.43
utils/dateUtils.ts,60,80,75.00,15,25,60.00,17,19,89.47
constants/days.ts,10,11,90.91,3,5,60.00,3,5,60.00
constants/roles.ts,3,3,100.00,6,7,85.71,8,10,80.00
constants/systemBadges.ts,18,19,94.74,3,13,23.08,5,7,71.43
gql/resolvers/loginResolver.ts,45,94,47.87,7,7,100.00,18,25,72.00
gql/resolvers/participantResolver.ts,89,134,66.42,7,7,100.00,19,26,73.08
gql/resolvers/receivedAnnouncementResolver.ts,74,78,94.87,7,7,100.00,15,19,78.95
prisma/index.ts,5,5,100.00,5,5,100.00,5,6,83.33
